Date and Time,Arm Response
10/06/2019 11:38:17,Moving motor: 0 : 20degs
10/06/2019 11:38:17,Moving motor: 0 : 20degs
10/06/2019 11:38:17,Moving motor: 0 : 20degs
10/06/2019 11:38:18,Moving motor: 0 : 20degs
10/06/2019 11:38:18,Moving motor: 0 : 20degs
10/06/2019 11:38:18,Moving motor: 0 : 20degs
10/06/2019 11:38:18,Moving motor: 0 : 20degs
10/06/2019 11:38:20,Moving motor: 0 : 20degs
10/06/2019 11:38:20,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:21,Moving motor: 0 : 20degs
10/06/2019 11:38:22,Moving motor: 0 : 20degs
10/06/2019 11:38:22,Moving motor: 0 : 20degs
10/06/2019 11:38:22,Moving motor: 0 : 20degs
10/06/2019 11:38:22,Moving motor: 0 : 20degs
10/06/2019 11:38:22,Moving motor: 0 : 20degs
10/06/2019 11:38:26,Moving motor: 0 : 20degs
