Date and Time,Command String Passed
10/06/2019 11:38:17,m020s45
10/06/2019 11:38:17,m020s45
10/06/2019 11:38:17,m020s45
10/06/2019 11:38:18,m020s45
10/06/2019 11:38:18,m020s45
10/06/2019 11:38:18,m020s45
10/06/2019 11:38:18,m020s45
10/06/2019 11:38:20,m020s45
10/06/2019 11:38:20,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:21,m020s45
10/06/2019 11:38:22,m020s45
10/06/2019 11:38:22,m020s45
10/06/2019 11:38:22,m020s45
10/06/2019 11:38:22,m020s45
10/06/2019 11:38:22,m020s45
10/06/2019 11:38:26,m020s48654
